,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Adresse,latitude,longitude,result_score
0,05/01/2022,Vente,300000.0,0,Maison,137.0,6.0,1646.0,11 IMP DE LA ROUAIRIE TIERCE 49125 France,47.616934,-0.474118,0.73
1,05/01/2022,Vente,300000.0,0,Maison,137.0,6.0,500.0,11 IMP DE LA ROUAIRIE TIERCE 49125 France,47.616934,-0.474118,0.73
2,07/01/2022,Vente,316500.0,0,Maison,54.0,3.0,119.0,11 IMP MARCHETEAU ANGERS 49100 France,47.475606,-0.535905,0.63
3,10/01/2022,Vente,162000.0,0,Maison,77.0,4.0,807.0,2 RUE DU BOIS AU JUGE FENEU 49460 France,47.574252,-0.595483,0.79
4,10/01/2022,Vente,398000.0,0,Maison,138.0,7.0,505.0,9 MAIL CLAUDE DEBUSSY TIERCE 49125 France,47.617099,-0.464666,0.79
5,10/01/2022,Vente,650000.0,0,Maison,151.0,5.0,377.0,110 RUE DU QUINCONCE ANGERS 49100 France,47.466873,-0.537922,0.82
6,10/01/2022,Vente,85000.0,0,Maison,43.0,2.0,617.0,5493   LES BAILLIS LOIRE-AUTHION 49800 France,47.424472,-0.454062,0.55
7,07/01/2022,Vente,625000.0,0,Local industriel. commercial ou assimilé,1250.0,0.0,3392.0,2 RTE DES HAUTES CHAPELLES LOIRE-AUTHION 49800 France,47.478928,-0.39042,0.78
8,07/01/2022,Vente,625000.0,0,Local industriel. commercial ou assimilé,1420.0,0.0,3466.0,2 RTE DES HAUTES CHAPELLES LOIRE-AUTHION 49800 France,47.478928,-0.39042,0.78
9,06/01/2022,Vente,310000.0,0,Maison,96.0,5.0,400.0,29 RUE LOUIS MONTERNAULT TRELAZE 49800 France,47.443564,-0.492665,0.82
10,06/01/2022,Vente,310000.0,0,Maison,96.0,5.0,630.0,29 RUE LOUIS MONTERNAULT TRELAZE 49800 France,47.443564,-0.492665,0.82
11,12/01/2022,Vente,222000.0,0,Maison,90.0,4.0,910.0,6   HAMEAU DE PLANTEROSE CHEFFES 49125 France,47.639545,-0.523513,0.8
12,10/01/2022,Vente,78875.0,0,Maison,59.0,3.0,493.0,8 RUE DE MALMOUCHE SAINT-BARTHELEMY-D ANJOU 49124 France,47.469868,-0.518349,0.85
13,05/01/2022,Vente,102000.0,0,Maison,120.0,7.0,310.0,28 RUE NATIONALE VERRIERES-EN-ANJOU 49112 France,47.521774,-0.440834,0.71
14,12/01/2022,Vente,658000.0,0,Maison,130.0,4.0,265.0,4 RUE DU PORT DES NOUES LES PONTS DE CE 49130 France,47.42308,-0.526086,0.71
15,14/01/2022,Vente,286000.0,0,Maison,115.0,7.0,379.0,24 RUE DE LA GABELLE SAINT-BARTHELEMY-D ANJOU 49124 France,47.468899,-0.502012,0.85
16,14/01/2022,Vente,260000.0,0,Maison,89.0,4.0,463.0,1 RUE SAINTE ANNE TIERCE 49125 France,47.613144,-0.465389,0.78
17,13/01/2022,Vente,243000.0,0,Maison,92.0,4.0,866.0,546 CHE DU CARREFOUR TIERCE 49125 France,47.60568,-0.458534,0.7
18,14/01/2022,Vente,100000.0,0,Local industriel. commercial ou assimilé,175.0,0.0,1550.0,5 CHE DE LA ZA DE LA SIGONNIERE RIVES-DU-LOIR-EN-ANJOU 49140 France,47.572194,-0.432437,0.8
19,14/01/2022,Vente,320000.0,0,Maison,111.0,5.0,523.0,11 RUE EDITH PIAF TRELAZE 49800 France,47.450971,-0.465147,0.79
20,17/01/2022,Vente,431000.0,0,Maison,185.0,5.0,642.0,1 RUE DE LA CHOUETTE CHEVECHE LOIRE-AUTHION 49800 France,47.461311,-0.386474,0.75
21,11/01/2022,Vente,155000.0,0,Local industriel. commercial ou assimilé,98.0,0.0,212.0,187 RUE FERDINAND VEST TRELAZE 49800 France,47.442141,-0.482682,0.82
22,14/01/2022,Vente,220000.0,0,Maison,87.0,4.0,410.0,26 LOT VILLAGE DES PLAINES TRELAZE 49800 France,47.449004,-0.506675,0.75
23,07/01/2022,Vente,407800.0,0,Maison,122.0,6.0,400.0,4 CHE DU CLOS DES MURAILLES SAINT-MELAINE-SUR-AUBANCE 49610 France,47.397812,-0.510595,0.79
24,07/01/2022,Vente,186500.0,0,Maison,71.0,2.0,506.0,126 LEVE JEANNE DE LAVAL ST MATHUR LOIRE-AUTHION 49250 France,47.408023,-0.301674,0.74
25,14/01/2022,Vente,460000.0,0,Maison,96.0,7.0,128.0,13 RUE HENRI GREVILLE ANGERS 49100 France,47.466616,-0.540678,0.73
26,10/01/2022,Vente,368000.0,0,Maison,145.0,6.0,370.0,15 RUE DE MALMOUCHE SAINT-BARTHELEMY-D ANJOU 49124 France,47.469543,-0.518578,0.85
27,10/01/2022,Vente,245000.0,0,Maison,113.0,8.0,603.0,1 RUE DES CERISIERS PLESSIS-GRAMMOIRE (LE) 49124 France,47.498493,-0.434155,0.83
28,19/01/2022,Vente,600000.0,0,Local industriel. commercial ou assimilé,397.0,0.0,111.0,11 PL MOLIERE ANGERS 49100 France,47.473916,-0.554581,0.71
29,19/01/2022,Vente,600000.0,0,Local industriel. commercial ou assimilé,231.0,0.0,111.0,11 PL MOLIERE ANGERS 49100 France,47.473916,-0.554581,0.71
30,17/01/2022,Vente,295000.0,0,Maison,107.0,5.0,601.0,52 RUE DU PRE D ASNIERE LOIRE-AUTHION 49800 France,47.442236,-0.417773,0.83
31,11/01/2022,Vente,205000.0,0,Maison,58.0,4.0,417.0,16 RUE JEAN MOULIN SAINT-BARTHELEMY-D ANJOU 49124 France,47.465374,-0.502041,0.85
32,21/01/2022,Vente,232227.0,0,Maison,44.0,3.0,392.0,22 RUE ROGER SALENGRO ANGERS 49000 France,47.454199,-0.562397,0.82
33,11/01/2022,Vente,245000.0,0,Maison,93.0,5.0,486.0,62 RUE DU 11 NOVEMBRE LES PONTS DE CE 49130 France,47.43975,-0.527266,0.75
34,20/01/2022,Vente,214000.0,0,Maison,73.0,3.0,518.0,9 RUE DE SAVAR LOIRE-AUTHION 49250 France,47.411767,-0.320337,0.8
35,06/01/2022,Vente,180000.0,0,Maison,90.0,5.0,486.0,3 SQ DE L'AIGUILLON LES GARENNES SUR LOIRE 49320 France,47.397344,-0.449953,0.7
36,10/01/2022,Vente,180000.0,0,Maison,89.0,5.0,160.0,28 RUE DU LUTIN ANGERS 49100 France,47.477433,-0.538425,0.79
37,05/01/2022,Vente,370000.0,0,Maison,85.0,5.0,151.0,9 RUE AUGUSTE FONTENEAU ANGERS 49000 France,47.458992,-0.542247,0.82
38,20/01/2022,Vente,460000.0,0,Maison,210.0,5.0,2211.0,1672 RTE DES CINQ ROUTES TIERCE 49125 France,47.629568,-0.442533,0.74
39,13/01/2022,Vente,385000.0,0,Maison,105.0,5.0,845.0,5 SQ DES CERISIERS PLESSIS-GRAMMOIRE (LE) 49124 France,47.498603,-0.432923,0.77
40,19/01/2022,Vente,210000.0,0,Maison,95.0,5.0,217.0,7 RUE VICTOR HUGO VERRIERES-EN-ANJOU 49480 France,47.520667,-0.471314,0.83
41,19/01/2022,Vente,160000.0,0,Maison,130.0,5.0,571.0,8 RUE DU BEC DU LOIR ECOUFLANT 49000 France,47.532499,-0.531364,0.81
42,18/01/2022,Vente,325000.0,0,Maison,96.0,5.0,386.0,28 RUE DU PETIT CHAUMINEAU ANGERS 49100 France,47.485664,-0.517768,0.83
43,14/01/2022,Vente,273000.0,0,Maison,110.0,5.0,421.0,19 RUE LOUIS ARMSTRONG TRELAZE 49800 France,47.455411,-0.508543,0.81
44,19/01/2022,Vente,240000.0,0,Maison,110.0,5.0,623.0,5 RUE DES ACACIAS BRIOLLAY 49125 France,47.563103,-0.506243,0.79
45,14/01/2022,Vente,590000.0,1,Local industriel. commercial ou assimilé,588.0,0.0,388.0,28 RUE DES ORMEAUX ANGERS 49100 France,47.480325,-0.520012,0.8
46,19/01/2022,Vente,150000.0,0,Maison,63.0,3.0,488.0,27 RTE DE CHEFFES TIERCE 49125 France,47.614725,-0.473898,0.7
47,20/01/2022,Vente,211000.0,0,Maison,92.0,6.0,367.0,20 RUE MAURICE RAVEL TIERCE 49125 France,47.618575,-0.459537,0.8
48,12/01/2022,Vente,400000.0,0,Maison,165.0,7.0,2000.0,38 RUE DE CHEMAN BLAISON-SAINT-SULPICE 49320 France,47.388807,-0.387676,0.82
49,12/01/2022,Vente,400000.0,0,Maison,165.0,7.0,537.0,38 RUE DE CHEMAN BLAISON-SAINT-SULPICE 49320 France,47.388807,-0.387676,0.82
50,14/01/2022,Vente,470000.0,0,Maison,137.0,5.0,459.0,32 RUE DES VIEILLES CARRIERES ANGERS 49000 France,47.462436,-0.526234,0.84
51,20/01/2022,Vente,612268.0,0,Maison,155.0,4.0,116.0,20 RUE AUGUSTE FONTENEAU ANGERS 49000 France,47.458801,-0.542603,0.82
52,11/01/2022,Vente,285000.0,0,Maison,93.0,4.0,815.0,22 RUE DES BUISSONS BELLES LOIRE-AUTHION 49800 France,47.450764,-0.419927,0.84
53,11/01/2022,Vente,285000.0,0,Maison,93.0,4.0,600.0,22 RUE DES BUISSONS BELLES LOIRE-AUTHION 49800 France,47.450764,-0.419927,0.84
54,03/01/2022,Vente,590000.0,0,Maison,190.0,5.0,290.0,26 RUE WALDECK ROUSSEAU LES PONTS DE CE 49130 France,47.445622,-0.510085,0.84
55,26/01/2022,Vente,210000.0,0,Maison,101.0,4.0,758.0,12 SQ DU GRAND PRESSOIR BRIOLLAY 49125 France,47.576202,-0.487969,0.71
56,25/01/2022,Vente,225000.0,0,Maison,84.0,4.0,294.0,24 RUE YOLANDE GRIGNON SAINT-BARTHELEMY-D ANJOU 49124 France,47.465547,-0.512813,0.85
57,13/01/2022,Vente,317000.0,0,Maison,105.0,5.0,421.0,7 RUE DES DAHLIAS ANGERS 49100 France,47.48015,-0.524209,0.79
58,10/01/2022,Vente,200500.0,0,Maison,60.0,3.0,584.0,7 RUE DU SOLEIL LEVANT RIVES-DU-LOIR-EN-ANJOU 49140 France,47.521762,-0.433816,0.85
59,10/01/2022,Vente,200500.0,0,Maison,60.0,3.0,691.0,7 RUE DU SOLEIL LEVANT RIVES-DU-LOIR-EN-ANJOU 49140 France,47.521762,-0.433816,0.85
60,26/01/2022,Vente,76000.0,0,Maison,61.0,3.0,75.0,4 RUE DES COUASMES CHEFFES 49125 France,47.621179,-0.508127,0.78
61,07/01/2022,Vente,277500.0,0,Maison,109.0,5.0,974.0,46 RUE ARMAND BROUSSE SAINT-MELAINE-SUR-AUBANCE 49610 France,47.369403,-0.491807,0.85
62,17/01/2022,Vente,346000.0,0,Maison,112.0,4.0,834.0,41 RUE DU BAS CHEMIN LOIRE-AUTHION 49800 France,47.424918,-0.391878,0.83
63,24/01/2022,Vente,325000.0,0,Maison,100.0,6.0,1242.0,54 CHE DES BOUVETTERIES RIVES-DU-LOIR-EN-ANJOU 49140 France,47.53919,-0.473948,0.78
64,24/01/2022,Vente,325000.0,0,Maison,100.0,6.0,1006.0,54 CHE DES BOUVETTERIES RIVES-DU-LOIR-EN-ANJOU 49140 France,47.53919,-0.473948,0.78
65,27/01/2022,Vente,353500.0,0,Maison,90.0,4.0,354.0,19 RUE RONSARD ANGERS 49100 France,47.473782,-0.533727,0.78
66,25/01/2022,Vente,180000.0,0,Maison,74.0,5.0,1177.0,131 CHE DE LA CHAPELLE DU CHENE RIVES-DU-LOIR-EN-ANJOU 49140 France,47.588911,-0.45713,0.8
67,25/01/2022,Vente,180000.0,0,Maison,74.0,5.0,603.0,131 CHE DE LA CHAPELLE DU CHENE RIVES-DU-LOIR-EN-ANJOU 49140 France,47.588911,-0.45713,0.8
68,06/01/2022,Vente,445000.0,0,Maison,171.0,6.0,993.0,2 CHE DES FRECHES LES GARENNES SUR LOIRE 49610 France,47.402337,-0.481743,0.76
69,31/01/2022,Vente,217000.0,0,Maison,69.0,3.0,210.0,15 SQ DU COMMANDANT COUSTEAU ANGERS 49000 France,47.449203,-0.567918,0.74
70,20/01/2022,Vente,475500.0,0,Maison,167.0,5.0,500.0,75 RUE PIERRE PILARD TRELAZE 49800 France,47.44967,-0.493234,0.81
71,27/01/2022,Vente,520000.0,0,Maison,166.0,5.0,702.0,20 RUE DE LA FRAGONELLE STE GEMMES SUR LOIRE 49130 France,47.42583,-0.559607,0.77
72,28/01/2022,Vente,220189.0,0,Maison,65.0,3.0,86.0,32 RUE PIERRE PILARD TRELAZE 49800 France,47.447454,-0.492759,0.81
73,05/01/2022,Vente,215000.0,0,Maison,100.0,3.0,621.0,5191 RLE DES POTS VERRIERES-EN-ANJOU 49480 France,47.520945,-0.472167,0.65
74,07/01/2022,Vente,201000.0,0,Appartement,74.0,4.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
75,07/01/2022,Vente,201000.0,0,Appartement,44.0,2.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
76,07/01/2022,Vente,201000.0,0,Appartement,36.0,2.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
77,07/01/2022,Vente,201000.0,0,Appartement,32.0,1.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
78,07/01/2022,Vente,201000.0,0,Appartement,36.0,2.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
79,07/01/2022,Vente,201000.0,0,Appartement,12.0,1.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
80,07/01/2022,Vente,201000.0,0,Local industriel. commercial ou assimilé,61.0,0.0,400.0,42 RUE VOLNEY ANGERS 49000 France,47.462097,-0.542305,0.78
